nama_rumah_sakit,jenis_rumah_sakit,alamat_lokasi_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,no_telepon,no_faximile,alamat_website,alamat_email,nama_direktur/kepala_rs,jml_tempat_tidur_per_kelas_vvip,jml_tempat_tidur_per_kelas_vip,jml_tempat_tidur_per_kelas_eksekutif/utama,jml_tempat_tidur_per_kelas_kelas_i,jml_tempat_tidur_per_kelas_kelas_ii,jml_tempat_tidur_per_kelas_kelas_iii,jml_tempat_tidur_per_kelas_perinatal,jml_tempat_tidur_per_kelas_icu,jml_tempat_tidur_per_kelas_picu,jml_tempat_tidur_per_kelas_nicu,jml_tempat_tidur_per_kelas_hcu,jml_tempat_tidur_per_kelas_iccu,jml_tempat_tidur_per_kelas_igd,jml_tempat_tidur_per_kelas_isolasi,jml_tempat_tidur_per_kelas_1_day_care,jml_tempat_tidur_per_kelas_r.operasi,jml_tempat_tidur_per_kelas_k.bersalin,jml_tempat_tidur_per_kelas_hemodialisa,jml_tempat_tidur_per_kelas_r.anak,jml_tempat_tidur_per_kelas_non_kelas,jml_tempat_tidur_per_kelas_lain2
Harapan Kita ,Rumah Sakit Khusus Jantung dan Pembuluh Darah,Jl. Letjen S. Parman Kav. 87,Kota Bambu Utara,Pal Merah,Jakarta Barat,11420,"5684085, 5684993","5684130, 5684230",www.pjnhk.go.id,info@pjnhk.go.id,"dr. Lia G. Partakusuma, Sp.PK(K).MM.MARS",4,32,0,44,65,56,0,12,13,0,0,18,14,1,10,,,4,,87,
FKG Universitas Trisakti,Rumah Sakit Khusus Gigi & Mulut,Jl. Kyai Tapa No.,Tomang,Grogol Petamburan,Jakarta Barat,11440,5663232,5644270,,rsgmfkgusakti@gmail.com,"Drg. Martha Juslily, M.M",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,0,,0,
Dr.Soeharto Heerdjan,Rumah Sakit Khusus Jiwa,Jl. Prof. Dr. Latumeten No. 1,Jelambar,Grogol Petamburan,Jakarta Barat,11460,5682841 - 43,"5682842, 5633316",www.rsjsh.com,keliek_marwanto@yahoo.co.id,"dr. Aris Tambing., MARS",0,45,0,40,56,159,0,0,0,0,0,0,0,0,0,,,0,,0,
Jakarta Eye Center Kedoya,Rumah Sakit Khusus Mata,Jl. Terusan Arjuna Utara I No.1,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,11530,29221000,25696060,www.jec.co.id,jec@jec.co.id,"dr. Johan A. Hutauruk, Sp.M(K)",1,4,0,2,6,4,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0
Yasa Husada,Rumah Sakit Khusus Ibu dan Anak,Jl. Duri Kosambi Raya,Duri Kosambi,Cengkareng,Jakarta Barat,11750,54373583,5437 4355,,,,,,,,,,,,,,,,,,,,,0,,,
Pusat Pertamina ,Rumah Sakit Umum,Jl. Kyai Maja No. 43,Gunung,Kebayoran Baru,Jakarta Selatan,12120,"7219202, 7200290","7209811, 7203540",www.rspp.co.id,humasrspp@pertamedika.co.id,"dr. Widya Sarkawi, Sp.S",5,20,0,107,120,74,0,14,3,1,8,0,15,0,0,,,14,,24,
Muhammadiyah Taman Puring,Rumah Sakit Umum,Jl. Gandaria I / 20,Kramat Pela,Kebayoran Baru,Jakarta Selatan,12130,"7208358, 7250243",7234823,www.rsiamtp.com,rsiamtp@rsiamtp.com,"dr. Nahari Arifin, Sp.A",0,6,0,12,18,19,8,1,0,0,2,0,7,1,0,2,6,0,0,0,0
Gandaria,Rumah Sakit Umum,Jl. Gandaria Tengah II No. 6 - 14,Kramat Pela,Kebayoran Baru,Jakarta Selatan,12140,"7250718, 7203311","7248175, 7222038",wahjuda@yahoo.com,rsgandaria@gmail.com,"dr. Gatot Soeseno., MARS",0,10,0,18,15,5,0,0,0,0,0,0,0,0,0,,,0,,9,
Kartini,Rumah Sakit Umum,Jl. Ciledug Raya No. 94 - 96,Cipulir,Kebayoran Lama,Jakarta Selatan,12230,"7245646, 7207828","72792194, 7230703",,"cs@rskartini.co.id, hendra_juniarta@yahoo.com","dr. Enrico A. Rinaldi, MM",0,1,0,5,18,11,0,0,0,0,0,0,0,0,0,,,0,,0,
Yadika Kebayoran Lama,Rumah Sakit Umum,Jl. Ciputat Raya No. 5,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,12240,"7291074, 7291077",72895046,,rsyadika@yahoo.com,"dr. Mohammad Saptadji, MARS",0,4,0,8,11,10,10,2,1,1,0,0,6,2,0,0,0,0,0,22,
Petukangan,Rumah Sakit Umum,Jl. Ciledug Raya No. 8 A,Petukangan Selatan,Pesanggrahan,Jakarta Selatan,12270,"7340906, 7353969",73889956,,petukanganmedicalcentre@gmail.com,"dr. Hendrivand., Sp.OG",0,2,0,2,3,8,0,2,0,0,0,0,5,3,0,,,0,,0,
Pondok Indah - Pondok Indah,Rumah Sakit Umum,"Jl. Metro Duta Kav. UE, Pondok Indah",Pondok Pinang,Kebayoran Lama,Jakarta Selatan,12310,"7657525, 7692252",7502324,www.rspondokindah.co.id,rspi@rspondokindah.co.id,"dr. Yuliana., MARS",11,101,4,20,20,20,116,6,0,2,0,6,0,3,0,,,0,,17,
Bhayangkara Sespimma Polri,Rumah Sakit Umum,Jl. Ciputat Raya No. 40,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,12310,"7650384, 7666087, 7692919",7666106,,"rs.sespimma_polri@yahoo.co.id, yenifebrianti66@yahoo.com","dr. Rini Afrianti, MKK",0,1,0,11,9,9,0,0,0,0,2,0,7,2,0,1,3,25,0,0,4
Dr. Suyoto  Pusrehab Kemhan,Rumah Sakit Umum,Jl. R.C. Veteran No. 178,Bintaro,Pesanggrahan,Jakarta Selatan,12330,7342581,"77884000, 73425817",www.suyotohospital.com,"pemasaranrsds@yahoo.com, humas@suyotohospital.com","Dr. Budi Satriyo Utomo, Sp.KFR / dr. Dian Nata E, Sp.RM",4,6,0,14,16,40,13,0,0,0,0,0,10,4,0,6,3,4,28,0,0
Fatmawati ,Rumah Sakit Umum Pusat,Jl. RS. Fatmawati,Cilandak Barat,Cilandak,Jakarta Selatan,12430,"7660552, 7501524","7690123, 7504022",www.fatmawatihospital.com,rsupf@fatmawatihospita.com,"Dr. Andi Wahyuningsih Attas, Sp.An, KIC, MARS",4,21,7,96,81,460,0,12,2,3,0,17,30,41,10,,,20,,0,
Setia Mitra,Rumah Sakit Umum,Jl. RS Fatmawati No. 80 - 82,Cilandak Barat,Cilandak,Jakarta Selatan,12430,7656000,7656875,,"dwilaras_p@yahoo.com,  info@rssetiamitra.co.id","Dr. Mursyida, MARS",2,6,0,11,22,12,5,4,0,0,5,0,0,0,0,,,11,,0,
Siloam TB Simatupang,Rumah Sakit Umum,Jl. RA. Kartini No.8,Cilandak Barat,Cilandak,Jakarta Selatan,12430,29531900,,www.siloamhospital.com,irna.hardiawan@siloamhospitals.com,"dr. Irna S. Hardiawan, MARS",2,28,2,16,18,16,2,7,0,2,3,0,10,6,0,3,2,8,0,0,
Mayapada,Rumah Sakit Umum,Jl. Lebak Bulus I RT.006 / RW.004,Cilandak Barat,Cilandak,Jakarta Selatan,12440,29217777,,,hospital@mayapadahospital.com,"dr. Senta Lucia Kumurur, MM",4,25,1,38,13,14,13,6,6,6,3,8,15,7,13,4,2,10,0,0,
Prikasih,Rumah Sakit Umum,Jl. RS. Fatmawati No. 74 RT.005 / RW.01,Pondok Labu,Cilandak,Jakarta Selatan,12450,"7501192, 7504669",7505148,www.rsprikasih.com,prikasih@cbn.net.id,"Dr Suharno,MARS",0,3,0,28,36,49,8,2,0,0,4,0,10,4,0,,,0,0,0,
Siaga Raya,Rumah Sakit Umum,Jl. Siaga Raya Kavling 4 - 8,Pejaten Barat,Pasar Minggu,Jakarta Selatan,12510,7972750-7972790,7970494,,"rs_sigaraya@pdpersi.co, oedien072@gmail.com","dr. Isa An Nagib, Sp.OT, FICS",1,13,0,8,17,17,0,0,0,0,0,0,0,2,0,,,0,,6,
Pasar Minggu,Rumah Sakit Umum Daerah,Jl. T.B Simatupang No. 1 RT.001 / RW.005,Ragunan,Pasar Minggu,Jakarta Selatan,12550,7808034,"29407035, 29407036",www.rsudpasarminggu@yahoo.com,rsud.pasarminggu@yahoo.com,"dr. T. Caroline Kawinda., MARS",13,6,0,34,52,265,11,14,7,12,18,7,30,0,0,6,13,15,56,0,0
Rumkital Marinir Cilandak,Rumah Sakit Umum,Jl. Raya Cilandak KKO,Cilandak Timur,Pasar Minggu,Jakarta Selatan,12560,"7805296, 7805415",7812764,,"enytiar@yahoo.com, layanan@rsmarinir.com","dr. Andi Abdullah., Sp.OT",0,14,0,28,10,80,0,0,0,0,0,0,0,0,0,,,0,,4,
Aulia,Rumah Sakit Umum,Jl. Jeruk Raya No. 15 RT. 0011 / RW. 01,Jagakarsa,Jagakarsa,Jakarta Selatan,12620,"7270208, 7867847, 08161133646","7867847, 7866057",www.rsiaaulia.com,rsia_aulia@yahoo.co.id,"Dr. Gatot Soeryo Koesumo, PFK, MM",1,3,0,12,8,9,7,0,0,0,0,0,0,0,0,,,0,,0,
Ali Sibroh Malisi,Rumah Sakit Umum,Jl. Warung Silah No. 1 RT.008/RW.05,Cipedak,Jagakarsa,Jakarta Selatan,12630,"7868172, 7270681",78885063,,md_azri@yahoo.com,dr. Muhammad Bima Arrynugraha,1,3,0,16,11,24,1,0,0,0,2,0,4,0,0,0,0,0,,0,0
Zahirah,Rumah Sakit Umum,Jl. Sirsak No. 21,Jagakarsa,Jagakarsa,Jakarta Selatan,12690,"7872210, 78888723",7270013,www.rszahirah.com,"marketing@rszahirah.com, ajrinawinasari05@gmail.com","dr. Yulkanti Ruadewi, MARS",1,5,5,17,31,51,15,2,0,0,0,0,0,1,0,3,4,20,0,0,0
Jakarta Medical Center,Rumah Sakit Umum,Jl. Warung Buncit Raya No. 15,Kalibata,Pancoran,Jakarta Selatan,12740,"7985177, 7980888",7940838,,rs_jmc@cbn.net.id,"drg. Ahmad Husni Basuni., MARS",4,3,17,14,20,13,0,0,0,1,7,0,6,1,0,,,0,,0,
Siloam Asri,Rumah Sakit Umum,Jl. Duren Tiga Raya No. 20 RT.004 / RW.01,Duren Tiga,Pancoran,Jakarta Selatan,12760,7992211,7996505,, info@urologi-asri.com,"Prof.DR.Dr.Hadiarto Mangunnegoro,Sp.P (K)",0,13,0,4,6,8,2,2,0,0,1,0,0,0,0,4,4,0,0,0,0
Tria Dipa,Rumah Sakit Umum,Jl. Raya Pasar Minggu No. 3 A,Pancoran,Tebet,Jakarta Selatan,12780,7974071 - 73,7974074,,customer@rs-triadipa.com,"Dr.Dewo Aksoro Affandi, Sp.THT-KL",0,8,0,10,12,30,6,2,0,0,0,0,2,1,0,2,2,0,,0,
Tebet,Rumah Sakit Umum,Jl. MT. Haryono No. 8,Pancoran,Tebet,Jakarta Selatan,12810,8307540,8311760,,marketing@rstebet.com,dr. Esther Poerwantoro Sp.PK,3,5,10,12,12,26,4,5,0,0,0,0,11,2,0,2,2,3,0,0,
Jakarta,Rumah Sakit Umum,Jl. Jend. Sudirman Kav. 49,Karet Semanggi,Setiabudi,Jakarta Selatan,12930,5732241,"5710240, 5710249",,customer.relation@rsjakarta.co,"Dr. Heru Pramanto, MARS.",11,9,0,30,37,31,6,3,1,1,5,0,0,0,0,,,4,,0,
Metropolitan Medical Center,Rumah Sakit Umum,Jl. HR. Rasuna Said Kav. C-21 Kuningan,Karet Kuningan,Setiabudi,Jakarta Selatan,12940,5203435,5203417,www.rsmmc.co.id,mmc@rsmmc.co.id,"Dr. Adib A. Yahya, MARS",10,42,0,24,17,24,15,5,0,0,0,0,7,7,3,,,5,5,0,7
Medistra,Rumah Sakit Umum,Jl. Jenderal Gatot Subroto Kav. 59,Kuningan Timur,Setiabudi,Jakarta Selatan,12950,5210200,5210184,,"customercare@medistra.com, medistra@cbn.net.id",dr. Hedy Hadiyani,14,64,9,20,19,23,0,7,0,3,0,14,5,4,0,,,10,,8,
Agung,Rumah Sakit Umum,Jl. Sultan Agung No. 67,Pasar Manggis,Setiabudi,Jakarta Selatan,12970,"18295971, 18294955",8305791,,"rsagung@pdpersi.co.id, ulul.uhfi24@gmail.com, jakarta@gmail.com","drg. John Hendri, MM, MARS",2,3,5,16,18,14,4,2,0,0,0,0,3,3,0,2,2,0,5,0,0
Brawijaya,Rumah Sakit Khusus Ibu dan Anak,Jl. Taman Brawijaya No. 1,Cipete Utara,Kebayoran Baru,Jakarta Selatan,12140,7211337,7211364,,"dwita.rakhmasari@brawijayahospital.com, costomer.service@brawijayahospital.com, evasimbolon555@gmail.com","Prof.Dr.Nugroho Kampono, Sp.OG.(K)",9,26,0,4,6,5,15,2,0,0,0,0,0,0,0,,,0,,0,
Asih,Rumah Sakit Khusus Ibu dan Anak,Jl. Panglima Polim I No. 34,Melawai ,Kebayoran Baru,Jakarta Selatan,12160,2700610,7254054,www.rsbasih.co.id,agatha_yanti@rsiaasih.co.id; rsia.asih@gmail.com,"dr. Naomi Dailami, MPH",6,4,3,6,3,4,8,0,0,0,4,0,3,2,4,1,2,0,4,0,0
Dharmawangsa ,Rumah Sakit Khusus Jiwa,Jl. Dharmawangsa Raya No. 13 Blok P II,Pulo,Kebayoran Baru,Jakarta Selatan,12160,7394484,7394162,www.dharmawangsa.org,sanatorium@dharmawangsa.org,"dr. Richard Budiman., Sp.KJ(K)",0,6,10,4,8,22,0,0,0,0,0,0,1,0,0,,,0,,0,
Ciranjang,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jl. Ciranjang No. 20-22,Rawa Barat,Kebayoran Baru,Jakarta Selatan,12180,"7243366, 7208192","7264038, 7398837",rsciranjang.com,tht_ciranjang@yahoo.com,"Prof.Dr.Efiaty Soepardi, Sp.THT-KL ",2,4,0,4,4,10,0,0,0,0,0,0,0,0,0,,,0,,0,
Panti Nugraha,Rumah Sakit Khusus Ibu dan Anak,Jl. Senayan No. 26,Rawa Barat,Kebayoran Baru,Jakarta Selatan,12180,"7221171, 7223939","7221171, 7223939",,rumahsakit.pantinugroho@gmail.com,Dr.Linda Lukitari,0,3,0,12,18,30,0,0,0,0,0,0,0,0,0,,,0,,12,
Avisena,Rumah Sakit Khusus Ibu dan Anak,Jl. H. Rohimin No. 30,Ulujami,Pesanggrahan,Jakarta Selatan,12250,5853916,5871802,,,"Dr.Achdyat Premedi J, MARS",1,2,0,4,4,12,14,0,0,0,1,0,3,2,0,0,4,0,0,0,0
FKG Universitas Prof. DR. Moestopo (B),Rumah Sakit Khusus Gigi & Mulut,Jl. Bintaro Permai Raya No. 3,Bintaro,Pesanggrahan,Jakarta Selatan,12330,"73885251, 73885254","73885251, 73885253",,"fkg@moestopo.ac.id, admin@moestopo.ac.id","drg. Susi R. Puspitadewi, Sp.Pros",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,0,,0,
Kemang,Rumah Sakit Khusus Ibu dan Anak,Jl. Ampera Raya No. 34,Ragunan,Pasar Minggu,Jakarta Selatan,12550,"27545454, 27545400",78843548,www.kemangmedicalcare.com,hri.isw@gmail.com,"dr. Gatot Soeryo Koesoemo, PFK, MM",5,10,7,4,8,8,4,1,0,5,0,0,4,0,0,3,2,0,,0,4
Andhika,Rumah Sakit Khusus Ibu dan Anak,Jl. Warung Sila No.8 RT.006 / RW.04 Gudang Baru,Ciganjur,Jagakarsa,Jakarta Selatan,12630,"7863408, 78887087",7874612,www.rsia-andhika.blogspot.com,rsia_andhika@yahoo.com,"dr. Nurhaidah Achmad, Mhkes, MARS, AAAK",0,5,1,10,12,45,0,3,0,0,0,0,5,3,0,2,5,8,0,0,0
Sofa Marwa,Rumah Sakit Khusus Ibu dan Anak,"Jl. Bina Warga (MAN 7) RT.009/RW.07, Kalibata",Srengseng Sawah,Jagakarsa,Jakarta Selatan,12640,7870160,7864329,,,"dr. Liling Budiman., M.M",0,3,0,3,5,13,0,0,0,0,0,0,0,0,0,,,0,,0,
Duren Tiga,Rumah Sakit Khusus Ibu dan Anak,Jl. Duren Tiga Raya No. 5,Pancoran,Pancoran,Jakarta Selatan,12760,"7993817, 7941843",7901050,-,"info@rsbdt.com, rsb_durentiga@yahoo.co.id",Dr.Fachruddin Sp.OG,0,9,0,2,6,8,31,0,0,0,1,0,4,0,0,2,2,0,4,0,3
AINI Prof. DR. Isak Salim,Rumah Sakit Khusus Mata,"Jl. H.R. Rasuna Said, Kuningan",Karet Setiabudi,Setiabudi,Jakarta Selatan,12920,5256228,5224288,www.rsmataaini.co.id,info@rsmataaini.co.id,"dr. Fatiah Elli, Sp.M",0,4,0,6,4,12,0,0,,0,0,0,0,2,0,,,0,,0,
MRCCC Siloam Semanggi,Rumah Sakit Khusus Kanker,Jl. Garnisun Kav. 2 - 3,Karet Semanggi,Setiabudi,Jakarta Selatan,12930,"57991779, 29962888","57992155, 29962778",www.siloamhospitals.com,melissa.luwia@siloamhospitals.com,"Dr. Melissa Luwia, MHA",5,35,0,14,28,15,4,6,0,0,3,0,9,6,0,,,0,,0,
Budhi Jaya,Rumah Sakit Khusus Ibu dan Anak,Jl. Dr. Saharjo No. 120,Menteng Atas,Setiabudi,Jakarta Selatan,12960,"8311722, 8312378",8301901,,rsia@budhijaya.co.id,"dr. Ristinawati Basri., MARS",0,11,0,6,9,11,0,0,0,0,0,0,0,0,0,,,0,,0,
Halimun,Rumah Sakit Khusus Bedah,Jl. Halimun No. 9,Guntur,Setiabudi,Jakarta Selatan,12980,8311361,83700880,www.halimun-medical.com,info@halimun-medical.com,"DR. H. Briliantono Munardi Soenarwo, Sp.OT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,
Columbia Asia Pulomas,Rumah Sakit Umum,Jl. Kayu Putih Raya No. 1 RT.003 / RW.016,Kayu Putih,Pulogadung,Jakarta Timur,13210,47883199,29559477,www.rsadmira.com,customercare.pulomas@colombiaasia.com,"dr. Helario Martinus Hasibuan, Sp.M",0,8,0,24,22,12,10,2,2,2,2,0,0,0,0,3,3,0,,0,
Omni Medical Center,Rumah Sakit Umum,Jl. Pulomas Barat VI No.20,Kayu Putih,Pulogadung,Jakarta Timur,13210,"4723332, 4722719",4718081,www.omni-hospitals.com,normariati70@yahoo.com,dr. Roswin Rosnim Djaafar,2,40,7,26,21,22,2,4,0,0,2,0,6,2,0,,,5,,0,10
Kartika Pulomas ,Rumah Sakit Umum,Jl. Pulomas Timur K. No. 2,Kayu Putih,Pulogadung,Jakarta Timur,13210,"4723402, 4703333",4723402,,rs_kartika@yahoo.com,"dr. Feronika Hardanti, MARS",1,2,0,18,19,46,0,2,0,0,0,0,4,2,0,3,2,11,3,0,
Aneka Tambang Medika (Antam Medika),Rumah Sakit Umum,Jl. Pemuda Raya No. 1A RT.002 / RW.07,Jatinegara Kaum,Pulogadung,Jakarta Timur,13210,"29378939, 29378943",29378960,www.antammedika.co.id,rumahsakit@antammedika.co.id,"dr. Syafaruddin Balha., M.M ",4,8,0,12,45,24,0,7,0,4,0,0,10,6,0,,,0,,0,
Persahabatan ,Rumah Sakit Umum Pusat,Jl. Persahabatan Raya No.1,Pisangan Timur,Pulogadung,Jakarta Timur,13220,"4891708, 4890696","4711222, 478608873",www.rsuppersahabatan.co.id,info@rsuppersahabatan.co.id,"dr. Mohammad Ali Toha, MARS",4,46,0,84,69,287,0,12,4,4,2,6,0,2,4,0,0,0,,0,61
Dharma Nugraha,Rumah Sakit Umum,Jl. Balai Pustaka Baru No. 19,Rawamangun,Pulogadung,Jakarta Timur,13220,"4707433, 4707437",4707428,,dharmanugraha@yahoo.com,"Dr. H. Bagus Mulyadi, Sp.M",3,12,2,18,31,18,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0
Mediros,Rumah Sakit Umum,Jl. Perintis Kemerdekaan Kav. 149,Pulogadung,Pulogadung,Jakarta Timur,13260,4721336 - 37,"4891937, 4891937",www.rs-mediros.com,"lumentagrace@yahoo.com, rsmediros@cbn.net.id",Dr.Ibrahim Darmasaputra,0,11,0,16,25,31,3,0,0,0,3,0,5,1,1,1,1,7,10,0,
Premier Jatinegara,Rumah Sakit Umum,Jl. Raya Jatinegara Timur No. 85 - 87,Rawa Bunga,Jatinegara,Jakarta Timur,13310,"2800666, 2800777, 2800888",2800755,www.ramsayhealth.co.id,rspremier.jatinegara@ramsayhealth.co.id,"Dr. Sri Wuryati Handayani, MHA",2,44,0,32,63,61,10,6,0,4,0,5,8,2,0,,,0,,0,
Hermina Jatinegara,Rumah Sakit Umum,Jl. Jatinegara Barat No. 126,Kampung Melayu,Jatinegara,Jakarta Timur,13310,"8191223, 8504371","8560601, 8190111, 8196157",www.rsiahermina.co.id,jatinegara@herminahospitalgroup.com,"Dr. W.F.P. Kaunang, MARS",15,10,0,21,27,21,24,1,2,7,0,0,9,2,0,3,7,0,0,0,0
Pengayoman Cipinang,Rumah Sakit Umum,Jl. Raya Bekasi Timur No. 170 B,Cipinang Besar Utara,Jatinegara,Jakarta Timur,13410,"085210432196, 85914558",85909644,,rspengayoman.dki@gmail.com,Dr. Danial Rasyid,0,0,0,10,90,88,0,15,0,0,0,0,3,0,0,2,1,0,1,0,0
Yadika Pondok Bambu,Rumah Sakit Umum,Jl. Pahlawan Revolusi No. 47,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,"8615754, 8610756",8631708,,rsyadika@yahoo.co.id,"Dr. Hendrik Suto, MKes. Sp.Rad",0,4,0,24,15,18,0,0,0,0,0,0,5,0,0,,,0,,26,
dr. Euis ,Rumah Sakit Umum,Jl. H. Naman No. 3,Pondok Kelapa,Duren Sawit,Jakarta Timur,13450,"86905347, 86905383",8656488,,,"dr. Euis Magdalena, Sp.OG, MARS",1,4,,6,9,24,0,2,0,2,0,0,0,0,0,0,0,0,15,0,0
Islam Jakarta Pondok Kopi,Rumah Sakit Umum,Jl. Raya Pondok Kopi,Pondok Kopi,Duren Sawit,Jakarta Timur,13460,"8610471 , 8630654",8611101,www.rsijpondokkopi.co.id,"aliyus_k@yahoo.com, ariefb12@gmail.com","dr. Prasna Darwin, Sp.KJ",12,8,12,41,48,46,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
Dik Pusdikkes Kodiklat TNI AD,Rumah Sakit Umum,Jl. Raya Bogor,Kramat Jati,Kramat Jati,Jakarta Timur,13510,"8092358, 8003491","8092706, 80887304",www.pusdikkes.com,rs.dik.pusdikkes@gmail.com,"dr. Adhy S., Sp.An",0,4,0,11,16,24,0,0,0,0,0,0,7,2,0,3,3,7,17,3,7
Bhayangkara Tk.I  R. Said Sukanto,Rumah Sakit Umum,Jl. RS Polri,Kramat Jati,Kramat Jati,Jakarta Timur,13510,8093288,8094005,,rs_polri@pdpersi.co.id,"dr. Didi Agus Mintardi., Sp.JP",7,9,0,36,113,200,0,12,0,9,0,0,7,19,0,,,5,,12,
Al-Fauzan,Rumah Sakit Umum,Jl. Pedati No. 3 RT.005 / RW.07,Kp. Tengah,Kramat Jati,Jakarta Timur,13540,8402821,87710318,www.jih.co.id,jakartaislamichospital@yahoo.com,"Dr. Prita Kusumaningsih, Sp.OG",0,1,0,2,6,6,0,0,0,0,1,0,3,1,1,1,3,0,1,0,3
Haji Jakarta,Rumah Sakit Umum,Jl. Raya Pondok Gede No. 4,Pinang Ranti,Makasar,Jakarta Timur,13560,8000693 - 695,"80876209, 8000702",www.rshaji-jakarta.com,"keliek_marwanto@yahoo.co.id, rshaji@pdpersi.co.id, info@rshaji-jakarta.com","dr. Wuwuh Utami Ningtyas, M.Kes",4,14,11,40,73,61,12,7,2,2,3,0,9,9,0,4,8,11,61,33,
Moh Ridwan Meuraksa,Rumah Sakit Umum Tk. II,Jl. Taman Mini I RT.004 / RW.02,Pinang Ranti,Makasar,Jakarta Timur,13560,"3150535, 323094, 22819465",3916888,,"tanjung_widia@yahoo.com, rsmrm74@yahoo.com","Kolonel CKM dr. Hardono Soeganhi Prihadi Sayekti, Sp.S",0,9,0,10,24,88,0,4,0,0,0,0,0,0,0,,,0,,0,
Pusat Angkatan Udara Dr. Esnawan Antariksa,Rumah Sakit Umum,"Jl. Merpati No. 2, Komplek Rajawali",Halim Perdanakusuma,Makasar,Jakarta Timur,13610,"8091716, 8093943",8098665,,"ruspau@pdpersi.co.id, rsauantariksa@yahoo.co.id","Kolonel Kes dr. Bobby Drastiawan, Sp.P",2,10,0,23,39,56,0,5,0,0,0,0,8,6,0,,,48,,190,
Harum Sisma Medika,Rumah Sakit Umum,Jl. Inspeksi Tarum Barat - Kalimalang,Cipinang Melayu,Makasar,Jakarta Timur,13620,8617212 - 13,8601030,,"erwintyrana@sismamedika.com, rsharum@pdpersi.co.id","dr. Ruli Aman., MARS",0,0,0,20,35,28,0,4,0,0,4,0,0,0,0,,,0,,0,
Budhi Asih ,Rumah Sakit Umum Daerah,Jl. Dewi Sartika Cawang III No. 200,Cawang,Kramat Jati,Jakarta Timur,13630,"8090282, 8092482","8009157, 8007348",www.rsudbudhiasih.com,budhiasih@ymail.com,"Dr. IBN Banjar, MKM",0,8,0,14,45,260,14,4,0,0,0,0,18,0,0,,,3,,0,
Universitas Kristen Indonesia,Rumah Sakit Umum,Jl. Mayjen Sutoyo No. 2,Cawang,Kramat Jati,Jakarta Timur,13630,"8092317, 8092831, 8010523",8092445,,rsuuki@yahoo.co.id,"Dr.Rosma Napitupulu, MARS",1,8,0,19,29,106,0,8,2,0,0,0,0,2,0,,,17,,0,
Olahraga Nasional,Rumah Sakit Umum,Jl. Jambore No. 1,Cibubur,Ciracas,Jakarta Timur,13720,87753977,87753977,,rsolahragacibubur@gmail.com,"Dr. dr. H. Basuki Supartono, SPOT, FICS, MARS",1,2,0,9,12,20,1,0,0,0,4,0,6,1,0,2,3,0,1,0,0
Tingkat IV Cijantung Kesdam Jaya,Rumah Sakit Umum,"Jl. Mahoni, Cijantung II",Gedong,Pasar Rebo,Jakarta Timur,13760,8400535,8407886,,kesdamjaya_cijantung@yahoo.com,"dr. Moh. Andi Fatkhurokhman., Sp.THT",0,9,0,24,25,29,1,0,0,0,3,0,5,4,0,0,0,0,0,0,0
Pasar Rebo,Rumah Sakit Umum Daerah,Jl. Letjen T.B. Simatupang No. 30,Gedong,Pasar Rebo,Jakarta Timur,13760,"8401127, 8400109",8411159,www.rsudpasarrebo.com,rsudpasarrebo@yahoo.com,"Dr.Tri Noviati, MARS",1,2,0,44,43,181,9,6,7,22,7,6,30,9,0,7,7,18,35,0,5
Adhyaksa,Rumah Sakit Umum,Jl. Hankam Raya No. 60,Ceger,Cipayung,Jakarta Timur,13820,29462345,,,adhyaksarsu@gmail.com,"dr. Dyah Eko Judihartanti, MARS",,0,,0,0,32,,,,,,,,,,,,0,,0,77
Harapan Bunda,Rumah Sakit Umum,Jl. Raya Bogor KM. 22 No. 44,Rambutan,Ciracas,Jakarta Timur,13830,8400257,87781247,,"hrd@rsharapanbunda.com, harapanbunda@pdpersi.co.id","dr. Finna E. Indriany, MM",6,12,34,28,46,39,10,6,3,2,3,0,0,11,0,,,0,,0,
Harapan Jayakarta ,Rumah Sakit Umum,Jl. Bekasi Timur Raya No. 6 KM.18,Pulogadung,Cakung,Jakarta Timur,13930,"4608886, 4603916, 46821726",4608863,,harapan.jayakarta@gmail.com,dr. Suhermi Yenti,1,1,0,6,13,39,2,1,0,0,1,0,5,2,0,2,1,10,0,0,0
Jantung Jakarta,Rumah Sakit Khusus Jantung,Jl. Matraman Raya No.23,Palmeriam,Matraman,Jakarta Timur,13140,29360698,29360697,www.rsjantungjakarta.com,rsjantungjakarta@gmail.com,"Dr. Mudjiah Dinarto, Sp.GK",3,7,0,6,6,8,0,4,0,0,0,0,0,0,0,,,0,,0,0
